"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2019","AQS","360610079","1","5.3","ug/m3 LC","22","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/06/2019","AQS","360610079","1","5.9","ug/m3 LC","25","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/09/2019","AQS","360610079","1","3","ug/m3 LC","13","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/12/2019","AQS","360610079","1","4.3","ug/m3 LC","18","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/15/2019","AQS","360610079","1","12","ug/m3 LC","50","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/18/2019","AQS","360610079","1","14.4","ug/m3 LC","56","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/21/2019","AQS","360610079","1","2.8","ug/m3 LC","12","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/24/2019","AQS","360610079","1","3.9","ug/m3 LC","16","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/27/2019","AQS","360610079","1","7.5","ug/m3 LC","31","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/30/2019","AQS","360610079","1","7.7","ug/m3 LC","32","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/02/2019","AQS","360610079","1","18.7","ug/m3 LC","65","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/05/2019","AQS","360610079","1","18.3","ug/m3 LC","64","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/08/2019","AQS","360610079","1","5.2","ug/m3 LC","22","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/11/2019","AQS","360610079","1","10.1","ug/m3 LC","42","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/14/2019","AQS","360610079","1","7.8","ug/m3 LC","33","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/17/2019","AQS","360610079","1","4.5","ug/m3 LC","19","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/20/2019","AQS","360610079","1","7.5","ug/m3 LC","31","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
