행정구역,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_0세,2015년_계_1세,2015년_계_2세,2015년_계_3세,2015년_계_4세,2015년_계_5세,2015년_계_6세,2015년_계_7세,2015년_계_8세,2015년_계_9세,2015년_계_10세,2015년_계_11세,2015년_계_12세,2015년_계_13세,2015년_계_14세,2015년_계_15세,2015년_계_16세,2015년_계_17세,2015년_계_18세,2015년_계_19세,2015년_계_20세,2015년_계_21세,2015년_계_22세,2015년_계_23세,2015년_계_24세,2015년_계_25세,2015년_계_26세,2015년_계_27세,2015년_계_28세,2015년_계_29세,2015년_계_30세,2015년_계_31세,2015년_계_32세,2015년_계_33세,2015년_계_34세,2015년_계_35세,2015년_계_36세,2015년_계_37세,2015년_계_38세,2015년_계_39세,2015년_계_40세,2015년_계_41세,2015년_계_42세,2015년_계_43세,2015년_계_44세,2015년_계_45세,2015년_계_46세,2015년_계_47세,2015년_계_48세,2015년_계_49세,2015년_계_50세,2015년_계_51세,2015년_계_52세,2015년_계_53세,2015년_계_54세,2015년_계_55세,2015년_계_56세,2015년_계_57세,2015년_계_58세,2015년_계_59세,2015년_계_60세,2015년_계_61세,2015년_계_62세,2015년_계_63세,2015년_계_64세,2015년_계_65세,2015년_계_66세,2015년_계_67세,2015년_계_68세,2015년_계_69세,2015년_계_70세,2015년_계_71세,2015년_계_72세,2015년_계_73세,2015년_계_74세,2015년_계_75세,2015년_계_76세,2015년_계_77세,2015년_계_78세,2015년_계_79세,2015년_계_80세,2015년_계_81세,2015년_계_82세,2015년_계_83세,2015년_계_84세,2015년_계_85세,2015년_계_86세,2015년_계_87세,2015년_계_88세,2015년_계_89세,2015년_계_90세,2015년_계_91세,2015년_계_92세,2015년_계_93세,2015년_계_94세,2015년_계_95세,2015년_계_96세,2015년_계_97세,2015년_계_98세,2015년_계_99세,2015년_계_100세 이상
전국  (0000000000),51529338,51529338,424563,437994,439989,488716,475519,473120,447817,468546,495761,449663,436313,474284,493916,495316,559996,639869,620297,640126,671503,685469,707868,713497,709734,724581,701903,639594,630813,625667,617519,627872,653196,662511,749469,823872,842339,839281,829802,724134,781486,764876,792924,861482,897141,898285,946354,921494,927372,929758,864888,819295,854571,836443,796081,884105,917941,926350,855335,781202,774145,698618,723306,614952,530689,585806,426909,454406,459232,455104,458390,364485,324762,345780,346706,424994,347652,305254,312030,278572,254947,235740,221366,192707,161520,145662,117252,105050,92884,77619,64233,46917,39061,29503,28787,22015,14848,10820,7763,5344,4318,3169,16209
서울특별시  (1100000000),10022181,10022181,77668,78187,76152,83046,78850,78745,74176,78271,82452,75752,73327,81332,84334,84511,94302,110050,106085,110951,117610,123288,130443,134941,138448,148442,151509,144425,146554,150747,149027,152685,157894,157246,173624,183750,183947,179349,174632,146834,157347,153630,155619,167735,173327,176759,186030,179882,177490,173191,162165,149411,159261,158739,151820,163569,169115,175117,164327,153273,153251,139861,147472,124636,110051,119334,83747,93155,94226,93095,95131,76905,67767,68503,67211,79812,64075,54571,53650,46780,42051,37947,35347,29561,24918,22301,18218,16418,14925,12640,10555,7918,6413,5107,5055,3825,2812,2154,1540,1090,950,773,5037
부산광역시  (2600000000),3513777,3513777,25731,26379,26059,28866,27963,27481,25214,26404,28002,25128,24795,27192,28868,29064,33342,38182,37673,39750,41833,44804,46711,48556,49340,51083,49353,43769,43947,42123,40819,40813,41888,42702,48317,53043,55714,55723,54368,46548,48929,46726,49952,53731,56283,56755,59450,59008,59722,60682,58279,54356,56888,56064,56000,64181,68206,70341,65506,61791,62917,57809,61798,51783,45737,49262,39444,38912,39619,39210,37541,29593,25185,28487,28365,31796,26495,23523,22775,19387,17703,15925,14602,12629,10296,9449,7751,6380,5882,5080,4181,2878,2406,1764,1592,1215,805,569,417,296,252,181,1489
대구광역시  (2700000000),2487829,2487829,18810,19590,19578,21966,21383,21299,20197,21367,23033,20892,20976,22742,24820,24363,28437,32812,31880,32685,35178,35697,37233,36926,36397,36496,34731,30994,30486,28081,27667,27744,28290,28293,32651,36215,37613,37589,37669,32469,36017,35827,38164,40869,43137,44229,46173,45448,46336,47594,45154,41570,43592,42755,40384,45441,47237,45047,44512,36996,38492,35197,35610,29661,27810,30162,23044,22733,23672,23469,21840,15692,14211,16781,17457,19992,16402,14373,14731,12685,11669,10583,9969,8881,7135,6583,5154,4254,3571,3261,2646,1828,1555,1124,967,745,518,379,273,179,162,105,543
인천광역시  (2800000000),2925815,2925815,24940,26162,26261,29099,28441,27992,26626,27290,29115,25832,25093,26829,28407,27930,31625,35814,35012,36075,38457,39288,41064,42059,42981,44162,43111,39252,38377,37462,36667,36978,38587,39035,44441,49104,50845,50176,49805,43392,46215,44298,46688,49781,52289,52446,54334,53256,53809,54434,50536,48532,52021,51671,48837,54161,54825,54877,49797,45904,43834,38192,39121,32505,27340,29931,19490,22031,22652,22001,22530,18233,15541,15884,15972,18920,15392,13118,13586,12385,10945,10404,9705,8330,7142,6393,5226,4813,4327,3593,2948,2173,1888,1476,1337,982,751,539,372,250,217,148,701
광주광역시  (2900000000),1472199,1472199,12045,12920,13194,15104,14740,15023,14573,15067,16287,14747,14375,15805,17159,16881,19472,22583,21625,22490,23484,23131,23869,23355,22511,22275,20412,18083,17382,16899,16845,17055,17902,18602,21409,23832,23649,23754,24200,21180,23333,23175,23113,26115,26325,26427,27498,27085,25740,27007,24757,23982,24023,22416,22542,22529,22968,24751,22276,19785,19541,16535,17499,14532,12507,14091,11339,11869,12407,11426,12066,9612,8518,8533,7889,10908,8607,7276,7132,6505,5964,5157,5065,4525,3609,3240,2673,2566,2313,1731,1521,1103,921,612,702,510,366,257,186,145,81,80,314
대전광역시  (3000000000),1518775,1518775,13301,13620,13840,15144,14952,14763,14104,14926,15898,14501,14044,15513,16063,16025,18053,20455,19966,20816,21846,22183,22956,22900,22503,23034,22171,20150,19429,19367,18994,19245,19720,19753,22296,24437,24825,24639,24305,21938,23475,23332,23793,25848,27583,26849,28598,27700,28518,28643,25836,23640,24600,24437,22010,25858,27180,26724,24296,21502,21994,20063,19993,17445,14127,15201,11327,12425,12019,11736,11136,8872,8134,8587,8416,10438,8322,6712,7380,6617,5936,5594,5120,4546,3907,3485,2798,2480,2124,1894,1611,1040,932,735,713,480,332,242,175,134,100,75,281
울산광역시  (3100000000),1173534,1173534,11348,11640,11449,12518,11965,11789,11213,11506,12112,10701,10396,11065,11702,11573,13579,15644,15511,16161,17213,17114,17673,17640,17263,17067,16671,14864,14874,14196,14004,14363,14893,15385,17642,19701,20185,20426,19793,17104,18298,17406,18028,19536,20389,20734,22118,21961,22496,23213,22092,21421,22224,20974,19651,21939,22741,21987,20157,18316,17568,15833,15892,12999,11607,11754,9052,8918,8408,8372,7732,5734,4884,5490,5522,6339,4779,4400,4302,3732,3344,3025,2774,2550,2209,1929,1533,1315,1230,1045,830,596,525,400,348,285,171,132,90,56,44,23,139
세종특별자치시  (3600000000),210884,210884,2823,2723,2903,3191,3085,3163,3053,3121,3032,2731,2551,2638,2597,2407,2393,2484,2265,2080,1951,2032,2185,2295,2164,2381,2394,2122,2181,2317,2432,2572,2913,3140,3560,4321,4477,4489,4615,3945,4349,4216,4185,4430,4396,4117,4234,3661,3459,3379,2880,2629,2741,2677,2397,2810,2916,2889,2575,2348,2358,2161,2325,1982,1579,1749,1317,1511,1453,1333,1300,1065,981,1094,1038,1396,1128,1007,1035,956,869,847,794,732,636,553,463,417,376,318,240,189,148,118,105,98,72,23,20,22,10,18,34
경기도  (4100000000),12522606,12522606,111355,116728,118171,132736,130026,129738,123405,129486,135697,123892,117997,128098,131963,130833,146145,165808,158858,162160,168110,169767,174642,175231,174283,178004,173059,157488,154396,154008,150813,152946,160848,163689,186831,207636,216447,217230,216161,189565,207051,203712,210657,228051,236391,237622,248858,240574,240145,236802,217347,206490,214838,210517,194857,214267,216754,215924,194738,178925,170045,151138,153762,129388,109622,121913,79086,88719,88875,89247,91862,75238,67028,67958,67411,80636,67164,58535,59122,53750,49252,45342,42408,36437,30508,27474,21974,19899,17956,14808,12201,9266,7623,5917,5614,4428,2993,2137,1570,1051,851,620,3008
강원도  (4200000000),1549507,1549507,10648,10892,11356,12859,12723,12914,12463,12742,13988,12690,12952,13924,14346,15111,16783,19024,18756,19385,20209,20583,20979,21053,21027,21921,20332,17506,16175,15741,14982,15086,15746,15601,18175,19947,20102,20444,20375,19147,20116,20101,21391,23910,25240,24633,25903,25618,26585,27275,24881,24971,24461,24762,24577,28030,29932,30091,28816,27059,27297,24261,24420,21914,18233,22130,12542,13647,14024,15016,15784,13742,13547,14000,13921,16275,14380,13543,13211,12237,10675,9941,8892,7572,6406,5439,4714,4570,3843,3359,2687,2060,1884,1413,1318,916,615,462,375,249,218,128,608
