"행정구역","2016년_총인구수","2016년_세대수","2016년_세대당 인구"
"서울특별시  (1100000000)","9,930,616","4,189,839","          2.37"
"서울특별시 종로구 (1111000000)","152,737","72,118","          2.12"
"서울특별시 중구 (1114000000)","125,249","59,651","          2.10"
"서울특별시 용산구 (1117000000)","230,241","106,607","          2.16"
"서울특별시 성동구 (1120000000)","299,259","128,727","          2.32"
"서울특별시 광진구 (1121500000)","357,215","158,390","          2.26"
"서울특별시 동대문구 (1123000000)","355,069","159,426","          2.23"
"서울특별시 중랑구 (1126000000)","411,005","177,400","          2.32"
"서울특별시 성북구 (1129000000)","450,355","188,304","          2.39"
"서울특별시 강북구 (1130500000)","327,195","141,229","          2.32"
"서울특별시 도봉구 (1132000000)","348,220","136,898","          2.54"
"서울특별시 노원구 (1135000000)","567,581","219,736","          2.58"
"서울특별시 은평구 (1138000000)","491,476","201,891","          2.43"
"서울특별시 서대문구 (1141000000)","314,194","136,766","          2.30"
"서울특별시 마포구 (1144000000)","379,892","169,432","          2.24"
"서울특별시 양천구 (1147000000)","477,739","177,434","          2.69"
"서울특별시 강서구 (1150000000)","595,485","245,045","          2.43"
"서울특별시 구로구 (1153000000)","417,551","172,220","          2.42"
"서울특별시 금천구 (1154500000)","235,386","104,483","          2.25"
"서울특별시 영등포구 (1156000000)","370,613","165,729","          2.24"
"서울특별시 동작구 (1159000000)","400,997","172,506","          2.32"
"서울특별시 관악구 (1162000000)","506,851","251,955","          2.01"
"서울특별시 서초구 (1165000000)","447,192","173,970","          2.57"
"서울특별시 강남구 (1168000000)","567,115","234,080","          2.42"
"서울특별시 송파구 (1171000000)","657,831","258,382","          2.55"
"서울특별시 강동구 (1174000000)","444,168","177,460","          2.50"
